2024-05-12 20:01:15,650 INFO    StreamThr :33121 [internal.py:wandb_internal():85] W&B internal server running at pid: 33121, started at: 2024-05-12 20:01:15.648987
2024-05-12 20:01:15,651 DEBUG   HandlerThread:33121 [handler.py:handle_request():158] handle_request: status
2024-05-12 20:01:15,651 INFO    WriterThread:33121 [datastore.py:open_for_write():87] open: /Users/sultandaniels/Documents/Transformer_Kalman/mop_modifications/wandb/run-20240512_200114-qsu3fn6l/run-qsu3fn6l.wandb
2024-05-12 20:01:15,652 DEBUG   SenderThread:33121 [sender.py:send():378] send: header
2024-05-12 20:01:15,652 DEBUG   SenderThread:33121 [sender.py:send():378] send: run
2024-05-12 20:01:15,936 INFO    SenderThread:33121 [dir_watcher.py:__init__():211] watching files in: /Users/sultandaniels/Documents/Transformer_Kalman/mop_modifications/wandb/run-20240512_200114-qsu3fn6l/files
2024-05-12 20:01:15,936 INFO    SenderThread:33121 [sender.py:_start_run_threads():1123] run started: qsu3fn6l with start time 1715569274.738757
2024-05-12 20:01:15,956 DEBUG   HandlerThread:33121 [handler.py:handle_request():158] handle_request: check_version
2024-05-12 20:01:15,956 DEBUG   SenderThread:33121 [sender.py:send_request():405] send_request: check_version
2024-05-12 20:01:16,127 DEBUG   HandlerThread:33121 [handler.py:handle_request():158] handle_request: run_start
2024-05-12 20:01:16,129 DEBUG   HandlerThread:33121 [system_info.py:__init__():26] System info init
2024-05-12 20:01:16,129 DEBUG   HandlerThread:33121 [system_info.py:__init__():41] System info init done
2024-05-12 20:01:16,129 INFO    HandlerThread:33121 [system_monitor.py:start():194] Starting system monitor
2024-05-12 20:01:16,129 INFO    SystemMonitor:33121 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-12 20:01:16,129 INFO    HandlerThread:33121 [system_monitor.py:probe():214] Collecting system info
2024-05-12 20:01:16,130 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started cpu monitoring
2024-05-12 20:01:16,136 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started disk monitoring
2024-05-12 20:01:16,138 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started gpuapple monitoring
2024-05-12 20:01:16,141 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started memory monitoring
2024-05-12 20:01:16,142 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started network monitoring
2024-05-12 20:01:16,474 DEBUG   HandlerThread:33121 [system_info.py:probe():150] Probing system
2024-05-12 20:01:16,475 DEBUG   HandlerThread:33121 [system_info.py:_probe_git():135] Probing git
2024-05-12 20:01:16,492 DEBUG   HandlerThread:33121 [system_info.py:_probe_git():143] Probing git done
2024-05-12 20:01:16,492 DEBUG   HandlerThread:33121 [system_info.py:probe():198] Probing system done
2024-05-12 20:01:16,492 DEBUG   HandlerThread:33121 [system_monitor.py:probe():223] {'os': 'macOS-13.3.1-arm64-arm-64bit', 'python': '3.12.2', 'heartbeatAt': '2024-05-13T03:01:16.474397', 'startedAt': '2024-05-13T03:01:14.734909', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/sultandaniels/Documents/Transformer_Kalman/mop_modifications/wandb_check.py', 'codePathLocal': 'wandb_check.py', 'codePath': 'wandb_check.py', 'git': {'remote': 'https://github.com/sultandaniels/mop_modifications.git', 'commit': '87ce9ab8fba728fd5f5f06f1d054744e9bd62f73'}, 'email': '63972349+sultandaniels@users.noreply.github.com', 'root': '/Users/sultandaniels/Documents/Transformer_Kalman/mop_modifications', 'host': 'Sultans-MacBook-Pro.local', 'username': 'sultandaniels', 'executable': '/Users/sultandaniels/anaconda3/envs/mop/bin/python', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3504, 'min': 600, 'max': 3504}, 'cpu_freq_per_core': [{'current': 3504, 'min': 600, 'max': 3504}], 'disk': {'/': {'total': 460.4317207336426, 'used': 11.342376708984375}}, 'gpuapple': {'type': 'Apple M2', 'vendor': 'sppci_vendor_Apple'}, 'memory': {'total': 8.0}}
