2024-05-12 20:01:23,041 INFO    StreamThr :33121 [internal.py:wandb_internal():85] W&B internal server running at pid: 33121, started at: 2024-05-12 20:01:23.038742
2024-05-12 20:01:23,043 DEBUG   HandlerThread:33121 [handler.py:handle_request():158] handle_request: status
2024-05-12 20:01:23,044 INFO    WriterThread:33121 [datastore.py:open_for_write():87] open: /Users/sultandaniels/Documents/Transformer_Kalman/mop_modifications/wandb/run-20240512_200122-bf1zkgwm/run-bf1zkgwm.wandb
2024-05-12 20:01:23,046 DEBUG   SenderThread:33121 [sender.py:send():378] send: header
2024-05-12 20:01:23,046 DEBUG   SenderThread:33121 [sender.py:send():378] send: run
2024-05-12 20:01:23,376 INFO    SenderThread:33121 [dir_watcher.py:__init__():211] watching files in: /Users/sultandaniels/Documents/Transformer_Kalman/mop_modifications/wandb/run-20240512_200122-bf1zkgwm/files
2024-05-12 20:01:23,377 INFO    SenderThread:33121 [sender.py:_start_run_threads():1123] run started: bf1zkgwm with start time 1715569282.125343
2024-05-12 20:01:23,395 DEBUG   HandlerThread:33121 [handler.py:handle_request():158] handle_request: check_version
2024-05-12 20:01:23,396 DEBUG   SenderThread:33121 [sender.py:send_request():405] send_request: check_version
2024-05-12 20:01:23,560 DEBUG   HandlerThread:33121 [handler.py:handle_request():158] handle_request: run_start
2024-05-12 20:01:23,562 DEBUG   HandlerThread:33121 [system_info.py:__init__():26] System info init
2024-05-12 20:01:23,562 DEBUG   HandlerThread:33121 [system_info.py:__init__():41] System info init done
2024-05-12 20:01:23,562 INFO    HandlerThread:33121 [system_monitor.py:start():194] Starting system monitor
2024-05-12 20:01:23,562 INFO    SystemMonitor:33121 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-12 20:01:23,562 INFO    HandlerThread:33121 [system_monitor.py:probe():214] Collecting system info
2024-05-12 20:01:23,564 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started cpu monitoring
2024-05-12 20:01:23,568 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started disk monitoring
2024-05-12 20:01:23,571 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started gpuapple monitoring
2024-05-12 20:01:23,574 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started memory monitoring
2024-05-12 20:01:23,575 INFO    SystemMonitor:33121 [interfaces.py:start():188] Started network monitoring
2024-05-12 20:01:23,894 DEBUG   HandlerThread:33121 [system_info.py:probe():150] Probing system
2024-05-12 20:01:23,895 DEBUG   HandlerThread:33121 [system_info.py:_probe_git():135] Probing git
